date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2015-11-14,2015-11-14 23:50:00+00:00,333.4391225398,383593,3830,3235.7894388607,3205.0623592875,3059.5049176691
2015-11-15,2015-11-15 23:50:00+00:00,320.3207315552,383749,3829,3243.1619688674,3205.0623592875,3059.5049176691
2015-11-16,2015-11-16 23:50:00+00:00,331.7085679803,383926,3828,3250.9111059459,3205.0623592875,3059.5049176691
2015-11-17,2015-11-17 23:50:00+00:00,336.2706450217,384074,3827,3258.4040763407,3205.0623592875,3059.5049176691
2015-11-18,2015-11-18 23:50:00+00:00,334.7224323079,384227,3826,3265.8215937893,3205.0623592875,3059.5049176691
2015-11-19,2015-11-19 23:50:00+00:00,326.5719146852,384361,3825,3273.3153939237,3205.0623592875,3059.5049176691
2015-11-20,2015-11-20 23:50:00+00:00,321.8274720150,384530,3824,3281.0575060586,3255.7072645553,3059.5049176691
2015-11-21,2015-11-21 23:50:00+00:00,326.3387576785,384704,3823,3288.9681343845,3255.7072645553,3059.5049176691
2015-11-22,2015-11-22 23:50:00+00:00,323.8077719618,384876,3822,3296.7990123786,3255.7072645553,3059.5049176691
2015-11-23,2015-11-23 23:50:00+00:00,323.1121158774,385040,3821,3304.7398552329,3255.7072645553,3059.5049176691
2015-11-24,2015-11-24 23:50:00+00:00,320.2786544059,385194,3820,3312.7423329133,3255.7072645553,3059.5049176691
2015-11-25,2015-11-25 23:50:00+00:00,328.9570992919,385343,3819,3320.8669464063,3255.7072645553,3059.5049176691
2015-11-26,2015-11-26 23:50:00+00:00,352.9815835414,385519,3818,3328.7967163894,3255.7072645553,3059.5049176691
2015-11-27,2015-11-27 23:50:00+00:00,357.7679405226,385653,3817,3336.1652198420,3310.9893403290,3059.5049176691
2015-11-28,2015-11-28 23:50:00+00:00,356.5316287062,385806,3816,3343.4592722056,3310.9893403290,3059.5049176691
2015-11-29,2015-11-29 23:50:00+00:00,371.5606233971,385956,3815,3350.8176637462,3310.9893403290,3059.5049176691
2015-11-30,2015-11-30 23:50:00+00:00,376.9796965740,386116,3814,3357.8769758530,3310.9893403290,3059.5049176691
2015-12-01,2015-12-01 23:50:00+00:00,362.9135153697,386284,3813,3364.8549377060,3310.9893403290,3275.6426697488
2015-12-02,2015-12-02 23:50:00+00:00,359.3656530803,386446,3812,3372.1723232651,3310.9893403290,3275.6426697488
2015-12-03,2015-12-03 23:50:00+00:00,361.4880907867,386588,3811,3379.6069976006,3310.9893403290,3275.6426697488
2015-12-04,2015-12-04 23:50:00+00:00,363.6694300330,386740,3810,3387.0292603561,3361.9088267822,3275.6426697488
2015-12-05,2015-12-05 23:50:00+00:00,387.8975263903,386916,3809,3394.4379250735,3361.9088267822,3275.6426697488
2015-12-06,2015-12-06 23:50:00+00:00,387.6737772690,387074,3808,3401.3611084587,3361.9088267822,3275.6426697488
2015-12-07,2015-12-07 23:50:00+00:00,394.8158178801,387221,3807,3408.3207897710,3361.9088267822,3275.6426697488
2015-12-08,2015-12-08 23:50:00+00:00,416.9436878043,387395,3806,3415.1696905087,3361.9088267822,3275.6426697488
2015-12-09,2015-12-09 23:50:00+00:00,417.5696303375,387562,3805,3421.6361435291,3361.9088267822,3275.6426697488
2015-12-10,2015-12-10 23:50:00+00:00,415.3993961685,387778,3804,3428.1194429023,3361.9088267822,3275.6426697488
2015-12-11,2015-12-11 23:50:00+00:00,453.1305854151,387937,3803,3434.6695975974,3413.6431449652,3275.6426697488
2015-12-12,2015-12-12 23:50:00+00:00,436.7529864639,388103,3802,3440.6240554837,3413.6431449652,3275.6426697488
2015-12-13,2015-12-13 23:50:00+00:00,433.3545154612,388244,3801,3446.8609917239,3413.6431449652,3275.6426697488
2015-12-14,2015-12-14 23:50:00+00:00,443.8590702690,388438,3800,3453.1802259301,3413.6431449652,3275.6426697488
2015-12-15,2015-12-15 23:50:00+00:00,463.9822589592,388622,3799,3459.3539774905,3413.6431449652,3275.6426697488
2015-12-16,2015-12-16 23:50:00+00:00,454.0652888456,388785,3798,3465.2441529096,3413.6431449652,3275.6426697488
2015-12-17,2015-12-17 23:50:00+00:00,455.8338169638,388941,3797,3471.3069169566,3413.6431449652,3275.6426697488
2015-12-18,2015-12-18 23:50:00+00:00,463.1291076307,389109,3796,3477.3669254504,3455.2168770943,3275.6426697488
2015-12-19,2015-12-19 23:50:00+00:00,461.4415972479,389264,3795,3483.3408485754,3455.2168770943,3275.6426697488
2015-12-20,2015-12-20 23:50:00+00:00,442.2988191820,389432,3794,3489.3638389428,3455.2168770943,3275.6426697488
2015-12-21,2015-12-21 23:50:00+00:00,437.2047325784,389581,3793,3495.7130369765,3455.2168770943,3275.6426697488
2015-12-22,2015-12-22 23:50:00+00:00,434.6732117943,389729,3792,3502.1739544663,3455.2168770943,3275.6426697488
2015-12-23,2015-12-23 23:50:00+00:00,442.4148208988,389887,3791,3508.7054845527,3455.2168770943,3275.6426697488
2015-12-24,2015-12-24 23:50:00+00:00,455.7401301606,390026,3790,3515.1336387206,3455.2168770943,3275.6426697488
2015-12-25,2015-12-25 23:50:00+00:00,455.8559151249,390188,3789,3521.3725014770,3496.8996045870,3275.6426697488
2015-12-26,2015-12-26 23:50:00+00:00,418.4736938530,390358,3788,3527.6350305069,3496.8996045870,3275.6426697488
2015-12-27,2015-12-27 23:50:00+00:00,422.2507205514,390563,3787,3534.5695491885,3496.8996045870,3275.6426697488
2015-12-28,2015-12-28 23:50:00+00:00,421.6523204184,390714,3786,3541.4642580814,3496.8996045870,3275.6426697488
2015-12-29,2015-12-29 23:50:00+00:00,432.9424291699,390873,3785,3548.4007630388,3496.8996045870,3275.6426697488
2015-12-30,2015-12-30 23:50:00+00:00,426.9732563835,391039,3784,3555.1615930357,3496.8996045870,3275.6426697488
2015-12-31,2015-12-31 23:50:00+00:00,430.2114326532,391181,3783,3562.0601320391,3496.8996045870,3275.6426697488
2016-01-01,2016-01-01 23:50:00+00:00,434.8839824640,391315,3782,3568.9297930321,3540.5581774247,3500.3948889548
2016-01-02,2016-01-02 23:50:00+00:00,434.9224203391,391459,3781,3575.7452003330,3540.5581774247,3500.3948889548
2016-01-03,2016-01-03 23:50:00+00:00,430.9997978271,391605,3780,3582.5896242448,3540.5581774247,3500.3948889548
2016-01-04,2016-01-04 23:50:00+00:00,433.9019913169,391786,3779,3589.5352912641,3540.5581774247,3500.3948889548
2016-01-05,2016-01-05 23:50:00+00:00,433.1665986958,391943,3778,3596.4585089589,3540.5581774247,3500.3948889548
2016-01-06,2016-01-06 23:50:00+00:00,429.9253492492,392084,3777,3603.4256224846,3540.5581774247,3500.3948889548
2016-01-07,2016-01-07 23:50:00+00:00,458.7099236880,392232,3776,3610.4835773305,3540.5581774247,3500.3948889548
2016-01-08,2016-01-08 23:50:00+00:00,454.0532833086,392404,3775,3617.0670720446,3588.0088338963,3500.3948889548
2016-01-09,2016-01-09 23:50:00+00:00,449.6971827988,392556,3774,3623.7559197323,3588.0088338963,3500.3948889548
2016-01-10,2016-01-10 23:50:00+00:00,448.9536352690,392729,3773,3630.5476452786,3588.0088338963,3500.3948889548
2016-01-11,2016-01-11 23:50:00+00:00,448.6952497818,392899,3772,3637.3814163720,3588.0088338963,3500.3948889548
